inc_number,occurred_on,ucr_crime_category,100_block_addr,zip,premise_type,year,month,day_name,hour
201600001183969,2015-11-01 22:30:00,LARCENY-THEFT,19200 N 20TH DR,85027,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,22.0
201500002108288,2015-11-01 22:45:00,LARCENY-THEFT,5600 E GELDING DR,85254,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,22.0
201500002113992,2015-11-01 23:00:00,RAPE,2000 W BETHANY HOME RD,85015,APARTMENT,2015.0,11.0,Sunday,23.0
201500002111976,2015-11-01 23:08:00,MOTOR VEHICLE THEFT,2500 W CACTUS RD,85029,PARKING LOT,2015.0,11.0,Sunday,23.0
201500002106595,2015-11-01 23:25:00,LARCENY-THEFT,1800 W GRANT ST,85007,GAS / SERVICE STATION,2015.0,11.0,Sunday,23.0
201500002107652,2015-11-01 23:59:00,BURGLARY,4200 E CEDARWOOD LN,85048,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,23.0
201500002240218,2015-11-02 00:00:00,LARCENY-THEFT,4200 W ENCANTO BLVD,85009,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,0.0
201500002116677,2015-11-02 00:00:00,LARCENY-THEFT,6400 W MITCHELL DR,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,0.0
201500002112607,2015-11-02 00:00:00,AGGRAVATED ASSAULT,4500 N 15TH ST,85014,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,0.0
201500002268224,2015-11-02 00:00:00,LARCENY-THEFT,9400 N 9TH AVE,85021,OTHER,2015.0,11.0,Monday,0.0
201500002248887,2015-11-02 00:01:00,LARCENY-THEFT,2800 S 51ST AVE,85043,VEHICLE,2015.0,11.0,Monday,0.0
201500002155310,2015-11-02 00:01:00,LARCENY-THEFT,2500 W AVALON DR,85017,BANK / SAVINGS / CREDIT UNION,2015.0,11.0,Monday,0.0
201500002232956,2015-11-02 00:01:00,BURGLARY,2600 N 31ST ST,85008,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,0.0
201500002115261,2015-11-02 00:01:00,BURGLARY,1800 E WIER AVE,85040,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,0.0
201510000015576,2015-11-02 00:23:00,MOTOR VEHICLE THEFT,2100 E MCKINLEY ST,85006,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,0.0
201500002108965,2015-11-02 00:30:00,LARCENY-THEFT,300 W TURNEY AVE,85013,APARTMENT,2015.0,11.0,Monday,0.0
201500002107709,2015-11-02 01:00:00,LARCENY-THEFT,3600 S 94TH LN,85353,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,1.0
201500002108474,2015-11-02 01:00:00,MOTOR VEHICLE THEFT,17200 N CAVE CREEK RD,85022,APARTMENT,2015.0,11.0,Monday,1.0
201500002109234,2015-11-02 01:00:00,LARCENY-THEFT,200 E ELWOOD ST,85040,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,1.0
201500002137878,2015-11-02 01:00:00,LARCENY-THEFT,9000 S 50TH LN,85339,DRIVEWAY,2015.0,11.0,Monday,1.0
